,term,cnt
0,boroughs,2
1,happened,1
2,middle,1
3,remain,1
4,dies,1
5,fullscale,1
6,respect,1
7,gallaecia,3
8,basin,1
9,invent,1
10,syrian,2
11,horses,1
12,al-mansur,1
13,urban,2
14,opposition,2
15,little,1
16,late,1
17,account,1
18,thought,1
19,native,1
20,pelagius,1
21,defeated,5
22,allied,1
23,slow,1
24,especially,2
25,abd-el-hakem,1
26,circa,1
27,damascus,5
28,landed,1
29,court,2
30,reached,2
31,autonomous,2
32,león,2
33,qais,1
34,line,1
35,al-malik,1
36,unified,1
37,crisis,1
38,second,7
39,muslim-ruled,2
40,northeastern,1
41,years,6
42,valleys,1
43,successors,1
44,autonomously,1
45,rebellions,3
46,détat,1
47,father,1
48,resented,1
49,view,1
50,abbasid,1
51,hand,1
52,charge,1
53,detached,1
54,alandalus,1
55,crushing,1
56,clear,2
57,remained,9
58,news,1
59,campaigned,1
60,considered,3
61,instead,2
62,joins,1
63,rebellion,1
64,erect,1
65,governor,11
66,population,6
67,tudmir,2
68,join,1
69,coimbra,1
70,adoptionist,1
71,freedman,1
72,survived,1
73,ultimately,1
74,removing,1
75,descendant,1
76,submitted,1
77,north,10
78,hispanic,1
79,mértola,1
80,rulers,4
81,muslim,12
82,pre-roman,2
83,usurper,1
84,iudicum,1
85,salama,1
86,intervention,1
87,fight,1
88,example,1
89,portugal,3
90,liberal,1
91,hunt,1
92,newly,1
93,isabella,1
94,african,2
95,station,1
96,fifth,1
97,abdul,1
98,constantinople,1
99,commanded,1
100,previously,1
101,reign,1
102,stormed,1
103,balat,2
104,valley,4
105,date,1
106,recognize,1
107,north-western,2
108,unconditionally,1
109,prolonged,1
110,directions,1
111,cordova,11
112,clustered,1
113,quelled,1
114,coast,1
115,known,1
116,emirate,4
117,counts,1
118,capitulation,1
119,took,5
120,historic,1
121,didnt,2
122,order,1
123,small,2
124,duero,1
125,caliphate,10
126,autun,1
127,unexpected,1
128,coup,1
129,capacity,2
130,évora,1
131,hope,1
132,guarded,1
133,cádiz,1
134,mayor,1
135,spanish,4
136,reconquered,1
137,main,1
138,believed,1
139,wake,1
140,banner,1
141,existing,1
142,felix,1
143,unclear,1
144,revolt,2
145,georgia,2
146,decline,1
147,advanced,1
148,realms,1
149,basques,1
150,charlemagne,2
151,almohads,1
152,seized,1
153,army,10
154,historian,1
155,pacifying,1
156,help,1
157,galicia,2
158,century,4
159,outposts,1
160,large,1
161,restored,1
162,terrains,1
163,latin,1
164,county,1
165,avignon,1
166,al-thaqafi,2
167,time,2
168,reinforcements,1
169,aftermath,1
170,accepted,2
171,iberia,17
172,pyrenees,3
173,tribes,1
174,commanders,2
175,later,5
176,source,1
177,administration,3
178,homogenization,1
179,sagrajas,1
180,ar-rahman,10
181,refuses,1
182,dominated,1
183,completed,2
184,routed,2
185,settlement,1
186,subdued,3
187,surrendering,1
188,ends,1
189,abd-ar-rahmans,1
190,raids,3
191,borders,1
192,yusufs,2
193,union,1
194,dispatches,1
195,córdoba,3
196,head,1
197,sparked,1
198,dating,1
199,yusuf,5
200,principal,2
201,needs,1
202,traditional,1
203,frictions,1
204,zora,1
205,curso,1
206,mainstay,1
207,depending,1
208,staged,1
209,al-khawlanis,1
210,flaviusdeath,1
211,garonne,1
212,townspeople,1
213,separate,2
214,legitimate,2
215,arriving,1
216,narbonne,4
217,seventh,1
218,unable,1
219,southeastern,1
220,rahman,1
221,represented,1
222,prayers,1
223,city,1
224,reconnaissance,1
225,gharb,1
226,muhammad,1
227,historians,2
228,north-west,1
229,experienced,1
230,disaster,1
231,friday,1
232,extending,1
233,operation,2
234,total,1
235,cerdanya,1
236,practice,1
237,plotting,1
238,communities,1
239,expanded,1
240,julian,1
241,uqba,1
242,apart,1
243,discussed,1
244,pamplona,5
245,mentions,1
246,democracy,2
247,sassanid,1
248,dispute,1
249,future,1
250,announces,1
251,regard,1
252,ethnic,2
253,reversed,1
254,leaderless,1
255,jebel,1
256,emir,2
257,arab,9
258,processo,1
259,al-tabari,1
260,numbers,1
261,officials,1
262,cordoba,1
263,cordovan,1
264,abandoning,1
265,jure,1
266,empire,3
267,khaganate,1
268,early,4
269,appointed,1
270,ever-expanding,1
271,constitutional,1
272,expulsions,1
273,aragon,1
274,threshold,1
275,marinids,1
276,historical,1
277,disorganized,1
278,unrest,1
279,northern,5
280,stories,1
281,nature,1
282,caucasus,1
283,pepin,2
284,unpleasant,1
285,renaissance,1
286,utterly,1
287,christian,7
288,northeast,1
289,then-recently,1
290,junds,1
291,caliphs,1
292,ascent,1
293,chronicle,4
294,republic,4
295,ifriqiya,2
296,throne,1
297,medina-sidonia,1
298,share,1
299,gijón,1
300,mediterranean,1
301,stop,1
302,humid,1
303,ages,1
304,anbasa,1
305,rule,10
306,king,10
307,annihilated,1
308,destruction,1
309,pro-abbasid,1
310,afghanistan,1
311,garrisoned,1
312,laws,1
313,uncertain,1
314,palencia,1
315,hurried,1
316,threatened,1
317,seat,1
318,jarir,1
319,task,1
320,effort,1
321,shuhada,2
322,opinion,1
323,conquerors,1
324,july,1
325,long,1
326,died,1
327,fraudulently,1
328,estimated,1
329,western,3
330,umayyad,27
331,conquest,15
332,recently,2
333,raid,2
334,lords,2
335,occupied,2
336,border,1
337,syria,1
338,addition,1
339,expedition,4
340,usually,2
341,mozarabic,2
342,sagunto,1
343,contemporary,2
344,andalusians,1
345,triumph,1
346,hold,1
347,supported,1
348,utrecht,1
349,transfers,1
350,segregated,1
351,carmona,1
352,permanently,1
353,establishment,3
354,modern,1
355,controversy,1
356,khazar,1
357,life,1
358,went,2
359,timeline,2
360,steady,1
361,eighth,1
362,al-samh,3
363,provence,2
364,banu,1
365,regarded,1
366,alliance,2
367,paucity,1
368,consisting,1
369,history,14
370,charles,2
371,novo,1
372,rules,1
373,states,1
374,spring,1
375,crusades,1
376,superficially,1
377,strategic,1
378,power,5
379,martels,1
380,signed,2
381,areas,3
382,visigothic,8
383,uthman,1
384,sided,1
385,principality,2
386,duke,3
387,transoxiana,1
388,mountainous,1
389,northward,1
390,combined,1
391,difficult,1
392,garrisons,2
393,outlined,1
394,succession,3
395,romanization,2
396,theudimers,1
397,narrative,1
398,authority,2
399,sending,1
400,yemenite,1
401,capture,1
402,america,1
403,church,2
404,wars,1
405,ar-rahmans,1
406,killed,1
407,near,1
408,islamic,3
409,ardo,2
410,douros,1
411,emirates,1
412,mérida,1
413,thirteenth,1
414,asturian,1
415,calls,1
416,legend,1
417,south,4
418,naissa,1
419,come,2
420,abd-ar-rahman,3
421,called,2
422,situation,1
423,present,1
424,revolution,3
425,stage,1
426,stated,1
427,estado,1
428,pyrenean,2
429,established,2
430,uqbah,1
431,repelled,1
432,mainly,1
433,putative,1
434,christians,2
435,support,1
436,retain,1
437,establishing,2
438,negotiated,1
439,rasil,1
440,uprising,1
441,agreement,2
442,tasks,1
443,surrendered,1
444,arabs,5
445,hard,1
446,brokered,1
447,faraway,1
448,revolucionário,1
449,reinforced,2
450,catalonia,1
451,tolosa,1
452,came,1
453,conquered,3
454,sources,2
455,invasion,4
456,rivalry,1
457,forays,1
458,francoist,1
459,iberian,7
460,aspired,1
461,exception,1
462,battle,16
463,beliefs,1
464,fragmentation,1
465,added,1
466,music,1
467,algeciras,1
468,takes,1
469,yemenites,2
470,following,3
471,aquitanian,1
472,consequently,1
473,roderick,1
474,maurontus,1
475,marseille,1
476,groups,2
477,office,2
478,force,5
479,presence,1
480,defend,3
481,term,1
482,count,3
483,managed,1
484,descent,1
485,acclamation,1
486,musas,1
487,monarchy,2
488,southern,7
489,fate,1
490,rodericks,1
491,essentially,1
492,continually,1
493,born,1
494,precedent,1
495,pledged,1
496,taifas,1
497,nusair,4
498,initiating,1
499,conditional,2
500,state,1
501,argued,1
502,superior,1
503,goths,1
504,peoples,3
505,expansionist,1
506,speak,1
507,europe,1
508,largely,3
509,overthrown,1
510,pombaline,1
511,regions,3
512,islam,1
513,ruling,1
514,affiliated,1
515,byzantine,1
516,conquering,1
517,subject,1
518,marries,1
519,local,2
520,subdues,2
521,spread,1
522,arabic,1
523,asturias,4
524,ceuta,1
525,lands,7
526,commander,1
527,prehistoric,3
528,left,1
529,basque,4
530,non-muslims,1
531,military,7
532,constitution,3
533,doesnt,1
534,river,3
535,tangier,1
536,yahya,1
537,offensive,1
538,stationed,1
539,mudarites,1
540,toulouse,4
541,territory,5
542,revolts,1
543,government,2
544,nusayr,1
545,sent,2
546,great,1
547,coastal,1
548,actual,1
549,tenth,1
550,carthaginian,1
551,facto,1
552,attested,2
